DepMap ID,KLF5 log2(TPM+1) Expression Public 22Q4,filter,Cell Line Name,Primary Disease, Custom cell line group,Lineage
ACH-001375,7.527007761,1,PACADD119,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000008,2.568032105,1,A101D,Melanoma,out group,Skin
ACH-001814,2.803227036,1,OS252,Osteosarcoma,out group,Bone
ACH-000800,0.773996325,1,NCIH446,Lung Neuroendocrine Tumor,out group,Lung
ACH-000606,6.237448996,1,PECAPJ34CLONEC12,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000317,1.521050737,1,TUHR14TKB,Renal Cell Carcinoma,out group,Kidney
ACH-000123,1.659924558,1,COV434,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000723,6.342874708,1,YD10B,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-002066,4.961623328,1,HSSCH2,Nerve Sheath Tumor,out group,Peripheral Nervous System
ACH-001536,5.385085854,1,KKU100,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000313,2.572889668,1,KMRC3,Renal Cell Carcinoma,out group,Kidney
ACH-002019,6.720004787,1,HOKUG,Glassy Cell Carcinoma of the Cervix,out group,Cervix
ACH-000728,0.176322773,1,KASUMI2,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000700,2.618238656,1,NCIH2882,Non-Small Cell Lung Cancer,out group,Lung
ACH-000823,4.904965719,1,KYSE140,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-000678,5.587665021,1,MKN7,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000006,2.327687364,1,MONOMAC6,Acute Myeloid Leukemia,out group,Myeloid
ACH-002029,5.721919446,1,SAS,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-001377,7.507715369,1,PACADD137,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000754,1.510961919,1,L428,Hodgkin Lymphoma,out group,Lymphoid
ACH-000465,0.86393845,1,SKMEL1,Melanoma,out group,Skin
ACH-000138,6.510170751,1,CFPAC1,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001864,5.454833907,1,YSCCC,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000383,5.523248293,1,OE33,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-001547,4.10433666,1,LO68,Pleural Mesothelioma,out group,Pleura
ACH-000917,4.412104045,1,TE4,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-002471,3.776103988,1,PSS008,Osteosarcoma,out group,Bone
ACH-000984,3.820689561,1,HEC6,Endometrial Carcinoma,out group,Uterus
ACH-001409,6.811727898,1,UMUC16,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-001707,1.286881148,1,WAOSEL,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000117,3.277984747,1,EFM192A,Invasive Breast Carcinoma,out group,Breast
ACH-000999,7.856798994,1,SNU1040,Colorectal Adenocarcinoma,in group,Bowel
ACH-000633,0.464668267,1,FU97,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000520,3.56193706,1,59M,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000176,3.119356177,1,LOUNH91,Non-Small Cell Lung Cancer,out group,Lung
ACH-000017,2.627606838,1,SKBR3,Invasive Breast Carcinoma,out group,Breast
ACH-000020,0.50589093,1,MHHCALL2,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-001385,6.273702369,1,RPMI2650,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000587,3.337711092,1,NCIH1975,Non-Small Cell Lung Cancer,out group,Lung
ACH-000785,6.051372102,1,NCIH2126,Non-Small Cell Lung Cancer,out group,Lung
ACH-000554,3.707082992,1,UACC893,Invasive Breast Carcinoma,out group,Breast
ACH-001398,0.86393845,1,SW156,Renal Cell Carcinoma,out group,Kidney
ACH-001991,6.199868617,1,NZOV9,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-001332,5.615592857,1,BICR78,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000585,4.321206567,1,EPLC272H,Non-Small Cell Lung Cancer,out group,Lung
ACH-000550,2.195347598,1,IGR39,Melanoma,out group,Skin
ACH-000627,2.310340121,1,LCLC103H,Non-Small Cell Lung Cancer,out group,Lung
ACH-000704,5.246027981,1,OAW42,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000276,3.392317423,1,HCC38,Invasive Breast Carcinoma,out group,Breast
ACH-000075,3.030336078,1,U87MG,Diffuse Glioma,out group,CNS/Brain
ACH-000818,2,1,BT483,Invasive Breast Carcinoma,out group,Breast
ACH-001616,0.98550043,1,OCILY18,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000625,2.733354341,1,HEP3B217,Hepatocellular Carcinoma,out group,Liver
ACH-000941,5.024585638,1,HEC1B,Endometrial Carcinoma,out group,Uterus
ACH-000392,5.04176865,1,CALU3,Non-Small Cell Lung Cancer,out group,Lung
ACH-000269,2.799087306,1,AM38,Diffuse Glioma,out group,CNS/Brain
ACH-001670,0.189033824,1,TASK1,Embryonal Tumor,out group,CNS/Brain
ACH-000856,6.918863237,1,CAL51,Invasive Breast Carcinoma,out group,Breast
ACH-002687,1.613531653,1,WM3772F,Ocular Melanoma,out group,Eye
ACH-001119,0.097610797,1,MAC2A,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000376,3.533563348,1,SF295,Diffuse Glioma,out group,CNS/Brain
ACH-000685,6.64284595,1,L33,Adenosquamous Carcinoma of the Pancreas,out group,Pancreas
ACH-000729,4.785550552,1,NCIH1963,Lung Neuroendocrine Tumor,out group,Lung
ACH-001034,1.214124805,1,CHLA9,Ewing Sarcoma,out group,Bone
ACH-001283,1.111031312,1,TC106,Ewing Sarcoma,out group,Bone
ACH-000880,6.475895522,1,AGS,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000035,5.184280294,1,NCIH1650,Non-Small Cell Lung Cancer,out group,Lung
ACH-001200,5.158660175,1,STM9101,Rhabdoid Cancer,out group,Kidney
ACH-000194,2.584962501,1,HS934T,Non-Cancerous,out group,Fibroblast
ACH-000322,3.061776198,1,HT144,Melanoma,out group,Skin
ACH-000552,7.225448469,1,HT29,Colorectal Adenocarcinoma,in group,Bowel
ACH-002508,1.372952098,1,WM3211,Melanoma,out group,Skin
ACH-000222,6.98458935,1,ASPC1,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000260,2.528571319,1,SKNAS,Neuroblastoma,out group,Peripheral Nervous System
ACH-001652,4.997292408,1,SKGII,Cervical Squamous Cell Carcinoma,out group,Cervix
ACH-000608,6.372778017,1,COV644,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000501,5.188242656,1,LS123,Colorectal Adenocarcinoma,in group,Bowel
ACH-000612,0.918386234,1,HUT102,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-001184,0.963474124,1,SCMCRM2,Rhabdomyosarcoma,out group,Soft Tissue
ACH-001688,0.933572638,1,UMRC7,Renal Cell Carcinoma,out group,Kidney
ACH-001838,5.889230152,1,ICC12,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000638,5.303415463,1,NCIH441,Non-Small Cell Lung Cancer,out group,Lung
ACH-001846,5.593353771,1,ICC6,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000798,6.860590409,1,CL40,Colorectal Adenocarcinoma,in group,Bowel
ACH-001321,0.495695163,1,TT,Medullary Thyroid Cancer,out group,Thyroid
ACH-000894,5.901108243,1,NCIH1869,Non-Small Cell Lung Cancer,out group,Lung
ACH-001559,4.663344619,1,MERO82,Pleural Mesothelioma,out group,Pleura
ACH-000344,5.659353759,1,SNU668,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000223,6.468583317,1,HCC1937,Invasive Breast Carcinoma,out group,Breast
ACH-000031,5.416839742,1,PANC0213,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000034,1.794935663,1,PLB985,Acute Myeloid Leukemia,out group,Myeloid
ACH-001861,5.754887502,1,TGBC1TKB,Intracholecystic Papillary Neoplasm,out group,Biliary Tract
ACH-000772,0.632268215,1,TE441T,Rhabdomyosarcoma,out group,Soft Tissue
ACH-000946,4.676944359,1,HEC265,Endometrial Carcinoma,out group,Uterus
ACH-000596,3.374343989,1,LCLC97TM1,Non-Small Cell Lung Cancer,out group,Lung
ACH-000632,2.438292852,1,HS944T,Melanoma,out group,Skin
ACH-000978,5.807354922,1,EN,Endometrial Carcinoma,out group,Uterus
ACH-000332,6.262846543,1,YAPC,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001841,7.310249222,1,ICC15,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000179,6.29186137,1,NCIH1618,Lung Neuroendocrine Tumor,out group,Lung
ACH-000887,4.638653116,1,SF172,Diffuse Glioma,out group,CNS/Brain
ACH-000368,1.956056652,1,SNU1105,Diffuse Glioma,out group,CNS/Brain
ACH-000240,1.63691458,1,HS600T,Non-Cancerous,out group,Fibroblast
ACH-000578,5.257010618,1,HCC1171,Non-Small Cell Lung Cancer,out group,Lung
ACH-001611,4.838951767,1,NP8,Diffuse Glioma,out group,CNS/Brain
ACH-000135,1.432959407,1,HS940T,Non-Cancerous,out group,Fibroblast
ACH-000406,0.344828497,1,U937,Acute Myeloid Leukemia,out group,Myeloid
ACH-001541,1.992768431,1,KMS28PE,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000998,6.216066783,1,CW2,Colorectal Adenocarcinoma,in group,Bowel
ACH-000441,3.368768349,1,SH4,Melanoma,out group,Skin
ACH-000960,1.021479727,1,REH,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000098,1.084064265,1,GAMG,Diffuse Glioma,out group,CNS/Brain
ACH-001651,5.433960931,1,SKGI,Cervical Squamous Cell Carcinoma,out group,Cervix
ACH-001456,6.588714636,1,C125PM,Colorectal Adenocarcinoma,in group,Bowel
ACH-001336,4.822220272,1,CASKI,Cervical Squamous Cell Carcinoma,out group,Cervix
ACH-000284,2.604071324,1,HS840T,Non-Cancerous,out group,Fibroblast
ACH-000971,5.137093609,1,HCT116,Colorectal Adenocarcinoma,in group,Bowel
ACH-001454,6.354381632,1,C10,Colorectal Adenocarcinoma,in group,Bowel
ACH-000926,6.488804187,1,HT55,Colorectal Adenocarcinoma,in group,Bowel
ACH-000033,6.245077275,1,NCIH1819,Non-Small Cell Lung Cancer,out group,Lung
ACH-000576,0.584962501,1,KMS27,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000019,2.94673086,1,MCF7,Invasive Breast Carcinoma,out group,Breast
ACH-001577,1.790772038,1,MUTZ8,Acute Myeloid Leukemia,out group,Myeloid
ACH-000330,2.634593268,1,EFM19,Invasive Breast Carcinoma,out group,Breast
ACH-000848,5.352617299,1,JHH7,Hepatocellular Carcinoma,out group,Liver
ACH-000481,7.070711322,1,NCIH2170,Non-Small Cell Lung Cancer,out group,Lung
ACH-001517,3.553360503,1,HEC1,Endometrial Carcinoma,out group,Uterus
ACH-000338,0.722466024,1,SR786,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-001959,4.479618608,1,CCLP1,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-001414,7.756689745,1,UMUC6,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000871,3.818646083,1,NCIH510,Lung Neuroendocrine Tumor,out group,Lung
ACH-001403,4.341274184,1,TO14,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000805,1.23878686,1,COLO679,Melanoma,out group,Skin
ACH-001142,3.701549057,1,NHAHTDD,Non-Cancerous,out group,CNS/Brain
ACH-001554,2.408711861,1,MEL202,Ocular Melanoma,out group,Eye
ACH-000847,3.66106548,1,HGC27,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-001207,2.411426246,1,TIG3TD,Non-Cancerous,out group,Fibroblast
ACH-000832,6.233044401,1,CAL27,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000428,2.720278465,1,UO31,Renal Cell Carcinoma,out group,Kidney
ACH-001382,6.976592762,1,PACADD188,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001302,0.214124805,1,COGN305,Neuroblastoma,out group,Peripheral Nervous System
ACH-000690,6.125981654,1,HCC2814,Non-Small Cell Lung Cancer,out group,Lung
ACH-001134,1.786596362,1,MYLA,T-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000914,0.731183242,1,HT,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000858,5.189033824,1,KNS62,Non-Small Cell Lung Cancer,out group,Lung
ACH-001421,2.538538164,1,WERIRB1,Retinoblastoma,out group,Eye
ACH-000544,5.823494625,1,OE21,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-000725,2.513490746,1,HCC202,Breast Ductal Carcinoma In Situ,out group,Breast
ACH-000566,1.195347598,1,SW1710,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000760,3.937344392,1,LNZ308,Diffuse Glioma,out group,CNS/Brain
ACH-001745,0.298658316,1,RHJT,Rhabdomyosarcoma,out group,Soft Tissue
ACH-000787,5.200064862,1,LXF289,Non-Small Cell Lung Cancer,out group,Lung
ACH-000749,1.350497247,1,DMS273,Lung Neuroendocrine Tumor,out group,Lung
ACH-001328,6.454998363,1,A431,Cutaneous Squamous Cell Carcinoma,out group,Skin
ACH-001068,0.432959407,1,FEPD,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000358,3.548436625,1,NCIH69,Lung Neuroendocrine Tumor,out group,Lung
ACH-001654,7.156740421,1,SKGT4,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-001521,7.633358551,1,HKA1,Cutaneous Squamous Cell Carcinoma,out group,Skin
ACH-000209,2.430285273,1,SNU1079,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-001520,0.464668267,1,HG3,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000213,5.864433796,1,HUPT4,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001610,2.028569152,1,NP5,Diffuse Glioma,out group,CNS/Brain
ACH-001408,7.699884729,1,UMUC14,Urethral Cancer,out group,Bladder/Urinary Tract
ACH-000991,7.764009032,1,SNU81,Colorectal Adenocarcinoma,in group,Bowel
ACH-001412,5.564378169,1,UMUC10,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000331,2.469885976,1,ISTMES2,Pleural Mesothelioma,out group,Pleura
ACH-001407,1.176322773,1,UMUC13,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000580,4.418189948,1,C32,Melanoma,out group,Skin
ACH-000594,5.833902077,1,DMS153,Lung Neuroendocrine Tumor,out group,Lung
ACH-000684,0.695993813,1,KMRC1,Renal Cell Carcinoma,out group,Kidney
ACH-000742,1.761285273,1,DM3,Non-Cancerous,out group,Fibroblast
ACH-000868,4.474436043,1,HCC1195,Non-Small Cell Lung Cancer,out group,Lung
ACH-000732,4.285402219,1,PECAPJ41CLONED2,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000429,1.169925001,1,A704,Renal Cell Carcinoma,out group,Kidney
ACH-000310,0.650764559,1,IMR32,Neuroblastoma,out group,Peripheral Nervous System
ACH-002475,5.140778656,1,HAP1,Myeloproliferative Neoplasms,out group,Myeloid
ACH-000643,5.794155898,1,HDQP1,Invasive Breast Carcinoma,out group,Breast
ACH-000234,4.742006211,1,CAKI2,Renal Cell Carcinoma,out group,Kidney
ACH-001498,0.704871964,1,FARAGE,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000896,4.934516502,1,647V,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000203,1.304511042,1,NH6,Neuroblastoma,out group,Peripheral Nervous System
ACH-001607,5.128458384,1,NOZ,Intracholecystic Papillary Neoplasm,out group,Biliary Tract
ACH-001441,2.263034406,1,921,Ocular Melanoma,out group,Eye
ACH-000112,1.411426246,1,SIGM5,Acute Myeloid Leukemia,out group,Myeloid
ACH-000186,4.56924803,1,NCIH2444,Non-Small Cell Lung Cancer,out group,Lung
ACH-000677,2.14404637,1,SW1573,Non-Small Cell Lung Cancer,out group,Lung
ACH-000055,2.307428525,1,D283MED,Embryonal Tumor,out group,CNS/Brain
ACH-000485,7.372255648,1,GSU,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000672,4.758089934,1,IALM,Non-Small Cell Lung Cancer,out group,Lung
ACH-000287,0.790772038,1,NUDUL1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000784,6.736334277,1,KYSE70,Esophageal Squamous Cell Carcinoma,out group,Esophagus/Stomach
ACH-000530,1.411426246,1,DMS114,Lung Neuroendocrine Tumor,out group,Lung
ACH-002024,5.762614579,1,ECC4,Colorectal Adenocarcinoma,in group,Bowel
ACH-000380,0.22650853,1,KMS12BM,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-001737,2.430285273,1,CTV1DM,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-001400,5.801676029,1,SW954,Squamous Cell Carcinoma of the Vulva/Vagina,out group,Vulva/Vagina
ACH-001054,1.761285273,1,D458,Embryonal Tumor,out group,CNS/Brain
ACH-000009,6.133193599,1,C2BBE1,Colorectal Adenocarcinoma,in group,Bowel
ACH-000491,6.271276259,1,NCIH716,Colorectal Adenocarcinoma,in group,Bowel
ACH-001703,0.378511623,1,VAL,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000002,1.03562391,1,HL60,Acute Myeloid Leukemia,out group,Myeloid
ACH-001568,1.049630768,1,MM386,Melanoma,out group,Skin
ACH-000993,4.458775699,1,JHUEM7,Endometrial Carcinoma,out group,Uterus
ACH-002680,3.255500733,1,170MGBA,Diffuse Glioma,out group,CNS/Brain
ACH-000877,0.495695163,1,EB1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000711,3.320484678,1,JIMT1,Invasive Breast Carcinoma,out group,Breast
ACH-001515,5.804001915,1,HCS2,Cervical Squamous Cell Carcinoma,out group,Cervix
ACH-002847,3.929790998,1,YUHOIN0650,Melanoma,out group,Skin
ACH-000702,1.372952098,1,L1236,Hodgkin Lymphoma,out group,Lymphoid
ACH-001020,5.121844298,1,BT16,Embryonal Tumor,out group,CNS/Brain
ACH-000600,0.757023247,1,SLR26,Renal Cell Carcinoma,out group,Kidney
ACH-000354,6.652056204,1,CAPAN1,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-000012,4.646738698,1,HCC827,Non-Small Cell Lung Cancer,out group,Lung
ACH-000689,3.456806149,1,RH18,Rhabdomyosarcoma,out group,Soft Tissue
ACH-000459,0.925999419,1,TUHR10TKB,Renal Cell Carcinoma,out group,Kidney
ACH-001413,4.795455272,1,UMUC11,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000686,3.789729251,1,SNU878,Hepatocellular Carcinoma,out group,Liver
ACH-000342,6.19711838,1,CL14,Colorectal Adenocarcinoma,in group,Bowel
ACH-000208,0.790772038,1,U178,Diffuse Glioma,out group,CNS/Brain
ACH-000360,7.060803995,1,NCIH508,Colorectal Adenocarcinoma,in group,Bowel
ACH-000249,5.383704292,1,CL11,Colorectal Adenocarcinoma,in group,Bowel
ACH-001368,1.327687364,1,OACM51,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000231,3.528571319,1,KALS1,Diffuse Glioma,out group,CNS/Brain
ACH-000945,3.286881148,1,NCIH650,Non-Small Cell Lung Cancer,out group,Lung
ACH-000662,3.837943242,1,CORL23,Non-Small Cell Lung Cancer,out group,Lung
ACH-002458,2.09085343,1,HT144SKINFV1,Melanoma,out group,Skin
ACH-001378,5.530133184,1,PACADD159,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001029,1.22650853,1,CHLA10,Ewing Sarcoma,out group,Bone
ACH-000248,3.963474124,1,AU565,Invasive Breast Carcinoma,out group,Breast
ACH-000943,0.443606651,1,RKO,Colorectal Adenocarcinoma,in group,Bowel
ACH-000751,0.731183242,1,OCIM1,Acute Myeloid Leukemia,out group,Myeloid
ACH-001696,4.98458935,1,UPCISCC111,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-001016,2.803227036,1,BECKER,Diffuse Glioma,out group,CNS/Brain
ACH-000282,4.146492307,1,NCIH1755,Non-Small Cell Lung Cancer,out group,Lung
ACH-000261,2.82374936,1,RERFLCAI,Non-Small Cell Lung Cancer,out group,Lung
ACH-000164,1.250961574,1,PANC1,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001793,1.10433666,1,LPS27,Liposarcoma,out group,Soft Tissue
ACH-000262,0.757023247,1,UOK101,Renal Cell Carcinoma,out group,Kidney
ACH-000158,1.10433666,1,OCILY3,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000773,0.565597176,1,KIJK,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000722,7.109151579,1,SNUC1,Colorectal Adenocarcinoma,in group,Bowel
ACH-000857,4.335569006,1,CAL851,Invasive Breast Carcinoma,out group,Breast
ACH-001129,1.007195501,1,MONOMAC1,Acute Myeloid Leukemia,out group,Myeloid
ACH-001619,4.684257705,1,OCUG1,Intracholecystic Papillary Neoplasm,out group,Biliary Tract
ACH-000184,2.080657663,1,HS343T,Non-Cancerous,out group,Fibroblast
ACH-000329,0.367371066,1,CCFSTTG1,Diffuse Glioma,out group,CNS/Brain
ACH-001569,1.704871964,1,MM415,Melanoma,out group,Skin
ACH-000814,2.456806149,1,HS939T,Melanoma,out group,Skin
ACH-001701,7.556199473,1,UPCISCC200,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000197,0.659924558,1,TALL1,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000545,7.182295025,1,VMCUB1,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000949,7.46360611,1,TGBC11TKB,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000124,0.575312331,1,OCILY19,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000560,2.901108243,1,ECC10,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000897,1.691534165,1,FTC238,Well-Differentiated Thyroid Cancer,out group,Thyroid
ACH-001626,5.382321407,1,OSC20,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-000619,5.439623138,1,PECAPJ15,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-001973,3.03562391,1,MM485,Melanoma,out group,Skin
ACH-001340,5.728736843,1,COV413A,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000546,6.183288001,1,HSC4,Head and Neck Squamous Cell Carcinoma,out group,Head and Neck
ACH-001709,1.189033824,1,WSUNHL,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-002018,2.811471031,1,OMM25,Ocular Melanoma,out group,Eye
ACH-000153,4.070389328,1,NCIH2052,Pleural Mesothelioma,out group,Pleura
ACH-000526,1.63691458,1,HS821T,Non-Cancerous,out group,Fibroblast
ACH-000116,5.50747753,1,OAW28,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-000815,2.735522177,1,KMH2,Hodgkin Lymphoma,out group,Lymphoid
ACH-001270,1.827819025,1,127399,Synovial Sarcoma,out group,Soft Tissue
ACH-000324,2.339137385,1,JHOC5,Ovarian Epithelial Tumor,out group,Ovary/Fallopian Tube
ACH-001561,4.076388069,1,MERO84,Pleural Mesothelioma,out group,Pleura
ACH-000842,4.384740587,1,SW480,Colorectal Adenocarcinoma,in group,Bowel
ACH-000898,6.955591792,1,SNU719,Esophagogastric Adenocarcinoma,out group,Esophagus/Stomach
ACH-000517,3.075532631,1,SNU410,Pancreatic Adenocarcinoma,out group,Pancreas
ACH-001415,8.286834954,1,UMUC7,Bladder Urothelial Carcinoma,out group,Bladder/Urinary Tract
ACH-000681,4.587964989,1,A549,Non-Small Cell Lung Cancer,out group,Lung
ACH-001310,3.545968369,1,HA1E,Non-Cancerous,out group,Kidney
ACH-000070,1.843983844,1,697,B-Lymphoblastic Leukemia/Lymphoma,out group,Lymphoid
ACH-000484,2.805292456,1,VMRCRCW,Renal Cell Carcinoma,out group,Kidney
ACH-000108,4.524815928,1,KP3,Adenosquamous Carcinoma of the Pancreas,out group,Pancreas
ACH-000808,4.919340082,1,HUH28,Intraductal Papillary Neoplasm of the Bile Duct,out group,Biliary Tract
ACH-000656,1.40053793,1,SUDHL8,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000166,1.244887059,1,KASUMI6,Acute Myeloid Leukemia,out group,Myeloid
ACH-000997,6.203201156,1,HCT15,Colorectal Adenocarcinoma,in group,Bowel
ACH-000866,3.780310099,1,NCIH1048,Lung Neuroendocrine Tumor,out group,Lung
ACH-000819,2.44625623,1,LN18,Diffuse Glioma,out group,CNS/Brain
ACH-000226,1.963474124,1,SUPM2,Non-Hodgkin Lymphoma,out group,Lymphoid
ACH-000087,0.918386234,1,SKES1,Ewing Sarcoma,out group,Bone
