Pair,Count (All features),Count (Top-five),Num PPIs,Num elevated PPIs,Num tissue-specific PPIs,Differential PPIs,Gene eQTL,Paralogs compensation,Process activity,Development variations,Essentiality score (CRISPR),RNAi essentiality score,Fetus development,Childhood development,Young development,Tumor suppressor gene density,Oncogene density,Tissue-specific gene density,CRISPR essential gene density,Essential gene density (Nichols),Normal tissue expression,TCGA expression
SKCM-20q,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
STAD-20q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TGCT-20q,7,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
THYM-20q,6,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
UCEC-20q,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
UCS-20q,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
ACC-1q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BLCA-1q,5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
BRCA-1q,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CESC-1q,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COAD-1q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESCA-1q,5,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
GBM-1q,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
KIRC-1q,4,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
KIRP-1q,4,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
LAML-1q,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
LGG-1q,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LIHC-1q,6,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
LUAD-1q,5,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
LUSC-1q,5,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
OV-1q,5,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0
PAAD-1q,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRAD-1q,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
SKCM-1q,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAD-1q,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TGCT-1q,5,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
THYM-1q,4,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
UCEC-1q,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
UCS-1q,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
BLCA-1p,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CESC-1p,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
ESCA-1p,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GBM-1p,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
KIRP-1p,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
LAML-1p,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUAD-1p,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OV-1p,5,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0
SKCM-1p,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
STAD-1p,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGCT-1p,6,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
THYM-1p,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
UCEC-1p,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
UCS-1p,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
ACC-6q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAD-6q,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ESCA-6q,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRP-6q,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
LAML-6q,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUSC-6q,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
STAD-6q,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TGCT-6q,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
UCEC-6q,5,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UCS-6q,6,2,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ACC-6p,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLCA-6p,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
BRCA-6p,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
CESC-6p,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
COAD-6p,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ESCA-6p,4,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
KIRP-6p,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
LAML-6p,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
LGG-6p,6,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
LIHC-6p,7,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0
LUAD-6p,5,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
LUSC-6p,5,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
PRAD-6p,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
SKCM-6p,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
STAD-6p,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
TGCT-6p,7,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
UCEC-6p,7,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
UCS-6p,5,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
ACC-3p,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BLCA-3p,6,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BRCA-3p,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COAD-3p,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
GBM-3p,5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
KICH-3p,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
KIRP-3p,5,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
LAML-3p,5,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
LGG-3p,5,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
LIHC-3p,8,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
OV-3p,5,2,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
PRAD-3p,5,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SKCM-3p,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TGCT-3p,6,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
UCEC-3p,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
UCS-3p,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ACC-7q,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
BLCA-7q,6,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0
BRCA-7q,6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
CESC-7q,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
COAD-7q,7,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1
ESCA-7q,7,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
GBM-7q,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
KICH-7q,5,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
KIRC-7q,6,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0
KIRP-7q,6,2,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
LGG-7q,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
LIHC-7q,8,2,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0
LUAD-7q,6,2,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
LUSC-7q,7,2,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
OV-7q,7,2,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
PAAD-7q,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
PRAD-7q,6,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
SKCM-7q,5,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
STAD-7q,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
TGCT-7q,10,3,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0
THYM-7q,5,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
UCEC-7q,7,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
UCS-7q,7,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0
ACC-12p,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
BLCA-12p,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BRCA-12p,5,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
CESC-12p,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
COAD-12p,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
ESCA-12p,4,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
GBM-12p,6,2,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
KICH-12p,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
KIRC-12p,5,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
KIRP-12p,5,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
LAML-12p,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
LGG-12p,7,3,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1
LIHC-12p,8,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
LUAD-12p,9,3,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
LUSC-12p,9,2,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0
OV-12p,7,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
PAAD-12p,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
SKCM-12p,9,3,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
STAD-12p,6,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1
TGCT-12p,9,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
THYM-12p,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UCEC-12p,8,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
UCS-12p,8,2,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ACC-11q,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
COAD-11q,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
KICH-11q,4,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
KIRC-11q,4,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
KIRP-11q,4,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
LAML-11q,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGG-11q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LIHC-11q,6,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
LUAD-11q,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
LUSC-11q,5,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
OV-11q,5,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
PAAD-11q,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
PRAD-11q,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
STAD-11q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
THYM-11q,5,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
UCS-11q,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ACC-4p,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBM-4p,7,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
KICH-4p,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
KIRC-4p,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
KIRP-4p,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LAML-4p,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
LUAD-4p,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
PAAD-4p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRAD-4p,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SKCM-4p,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
THYM-4p,5,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC-7p,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
BLCA-7p,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
BRCA-7p,6,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0
CESC-7p,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
COAD-7p,5,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
ESCA-7p,4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
GBM-7p,6,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1
KICH-7p,8,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
KIRC-7p,7,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
KIRP-7p,7,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
LGG-7p,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
LIHC-7p,6,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
LUAD-7p,8,2,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
LUSC-7p,8,2,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
OV-7p,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
PAAD-7p,5,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
PRAD-7p,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
SKCM-7p,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
STAD-7p,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
TGCT-7p,6,2,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0
THYM-7p,5,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
UCEC-7p,7,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
UCS-7p,7,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
ACC-17q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BLCA-17q,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CESC-17q,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
COAD-17q,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
ESCA-17q,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GBM-17q,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
KIRC-17q,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
KIRP-17q,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LGG-17q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LIHC-17q,7,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0
LUAD-17q,5,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
LUSC-17q,5,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
PAAD-17q,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PRAD-17q,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SKCM-17q,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
STAD-17q,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TGCT-17q,8,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
THYM-17q,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
UCS-17q,7,3,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
ACC-2p,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BLCA-2p,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BRCA-2p,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CESC-2p,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COAD-2p,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
ESCA-2p,5,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
GBM-2p,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRC-2p,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
KIRP-2p,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LAML-2p,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGG-2p,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LIHC-2p,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
LUAD-2p,6,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
LUSC-2p,6,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
OV-2p,6,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
PAAD-2p,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRAD-2p,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SKCM-2p,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
STAD-2p,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGCT-2p,5,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
THYM-2p,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UCEC-2p,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
UCS-2p,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ACC-16q,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BLCA-16q,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CESC-16q,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COAD-16q,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ESCA-16q,4,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
KICH-16q,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
KIRC-16q,6,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1
KIRP-16q,6,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1
LAML-16q,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
LGG-16q,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
LUAD-16q,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
PAAD-16q,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
TGCT-16q,6,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ACC-2q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCA-2q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BRCA-2q,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CESC-2q,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
COAD-2q,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ESCA-2q,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GBM-2q,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
KIRC-2q,7,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0
